title,year,avg_vote,votes
"Steamboat Bill, Jr.",1928,7.9,11996
Street Angel,1928,7.4,2003
Submarine,1928,6.1,197
Tempest,1928,6.8,311
That Certain Thing,1928,6,223
Tire au flanc,1928,6.5,201
The Trail of '98,1928,6.9,323
Underground,1928,7.3,387
The Viking,1928,6.6,335
The Way of All Flesh,1927,6.5,117
Weary River,1929,6.1,363
The Wedding March,1928,7.5,1403
West of Zanzibar,1928,7.2,1462
While the City Sleeps,1928,6.2,139
White Shadows in the South Seas,1928,6.9,717
The Wind,1928,8.1,5643
A Woman of Affairs,1928,7.3,1310
Zhivoy trup,1929,6.9,112
Zvenigora,1928,7.1,759
La aldea maldita,1930,7,175
Alibi,1929,5.9,600
Applause,1929,7,1215
L'argent,1928,7.7,779
Arsenal,1929,7.2,1585
Asphalt,1929,7.4,1287
Atlantic,1929,5.4,152
Behind That Curtain,1929,4.9,360
Big News,1929,5.4,176
The Black Watch,1929,5.7,240
Blackmail,1929,7,8901
Broadway,1929,6.2,328
Broadway Babies,1929,6.4,113
The Broadway Melody,1929,5.7,5943
Bulldog Drummond,1929,6.4,778
The Canary Murder Case,1929,6.1,488
Le capitaine Fracasse,1929,6.8,160
The Cocoanuts,1929,7,6599
Condemned!,1929,6.4,313
Coquette,1929,5.9,1885
Daigaku wa detakeredo,1929,6.4,345
The Dance of Life,1929,6.5,245
Dangerous Curves,1929,6,105
Desert Nights,1929,6.5,1069
Devil-May-Care,1929,6.1,100
Disraeli,1929,6.2,923
The Divine Lady,1928,6.3,615
Dynamite,1929,7,354
Erotikon,1929,7.2,460
Eternal Love,1929,6.9,414
Evangeline,1929,6.6,124
Flight,1929,6,221
The Flying Fleet,1929,6.7,229
The Flying Scotsman,1929,6.1,104
Frau im Mond,1929,7.3,2738
Fräulein Else,1929,6.9,123
The Girl in the Show,1929,5.2,113
Glorifying the American Girl,1929,6,577
The Godless Girl,1928,7.2,661
Gold Diggers of Broadway,1929,6.7,135
The Great Divide,1929,5.2,112
The Great Gabbo,1929,6.1,653
The Greene Murder Case,1929,6.6,258
Half Marriage,1929,5.8,108
Hallelujah,1929,6.8,1456
Hell's Heroes,1929,7.1,488
Her Private Affair,1929,5.2,107
High Voltage,1929,5.3,263
The Hole in the Wall,1929,5.9,115
The Hollywood Revue of 1929,1929,6,1765
Seven Footprints to Satan,1929,6.6,261
"Ich küsse Ihre Hand, Madame",1929,6.1,101
The Idle Rich,1929,6,113
In Old Arizona,1928,5.6,817
The Informer,1929,7.1,163
The Iron Mask,1929,7.1,1089
It's a Great Life,1929,6.1,259
The Kiss,1929,6.9,901
Laila,1929,7.3,207
The Last Performance,1929,6.7,297
The Last Warning,1928,6.7,406
The Last of Mrs. Cheyney,1929,6,322
The Letter,1929,6.7,539
The Locked Door,1929,6,407
The Love Parade,1929,7.1,1807
The Love Trap,1929,6.5,160
Lucky Star,1929,7.8,1082
Madame X,1929,5.9,386
The Manxman,1929,6.2,2391
Marianne,1929,6.2,1134
Marianne,1929,5.5,380
Menschen am Sonntag,1930,7.4,2509
Mexicali Rose,1929,5.8,143
Monte Cristo,1929,6.9,104
Mutter Krausens Fahrt ins Glück,1929,7.4,231
The Mysterious Dr. Fu Manchu,1929,6.8,171
The Mysterious Island,1929,6.1,541
Navy Blues,1929,5.2,523
New York Nights,1929,5.8,133
Noah's Ark,1928,6.4,613
Les nouveaux messieurs,1929,6.8,135
Novyy Vavilon,1929,7.4,691
Oblomok imperii,1929,7.3,288
On with the Show!,1929,6,227
Our Modern Maidens,1929,6.1,552
The Pagan,1929,6.9,292
Piccadilly,1929,7.2,1247
Prapancha Pash,1929,6.5,640
"Prividenie, kotoroe ne vozvrashchaetsya",1930,6.8,169
Queen Kelly,1932,7.2,2983
The Racketeer,1929,5.5,333
Redskin,1929,6.8,148
Rio Rita,1929,6.1,673
The River,1928,7.2,501
Chasing Rainbows,1930,6,196
Sally,1929,6,274
Salute,1929,5.6,149
The Saturday Night Kid,1929,6.1,175
Seven Keys to Baldpate,1929,6,188
The Shakedown,1929,6.2,105
Show Boat,1929,6.1,212
Show of Shows,1929,5.9,320
The Silent Enemy,1930,7,170
The Single Standard,1929,6.8,454
So This Is College,1929,5.5,175
Der Sonderling,1929,4.9,138
